individual,mode,choice,vcost,travel,wait,gcost,income,size
51,air,1,64,155,90,88,60,2
51,train,0,74,678,44,177,60,2
51,bus,0,35,672,53,137,60,2
51,car,0,20,629,0,115,60,2
52,air,1,105,85,85,118,30,4
52,train,0,56,665,44,156,30,4
52,bus,0,35,659,53,135,30,4
52,car,0,8,587,0,97,30,4
53,air,0,60,123,69,73,30,1
53,train,1,24,365,15,64,30,1
53,bus,0,25,430,35,71,30,1
53,car,0,13,332,0,49,30,1
54,air,0,58,90,64,72,50,2
54,train,1,22,340,30,74,50,2
54,bus,0,25,417,53,88,50,2
54,car,0,9,334,0,60,50,2
55,air,0,45,73,64,56,6,4
55,train,1,22,290,15,66,6,4
55,bus,0,13,395,53,73,6,4
55,car,0,5,314,0,53,6,4
56,air,0,108,170,69,126,30,1
56,train,1,31,875,30,126,30,1
56,bus,0,44,887,35,140,30,1
56,car,0,50,884,0,146,30,1
57,air,0,110,249,69,137,12,1
57,train,1,22,890,45,119,12,1
57,bus,0,47,955,35,151,12,1
57,car,0,38,990,0,146,12,1
58,air,0,115,138,64,136,36,2
58,train,1,44,830,10,170,36,2
58,bus,0,50,869,53,182,36,2
58,car,0,18,862,0,149,36,2
59,air,0,117,147,69,133,30,1
59,train,1,59,790,40,145,30,1
59,bus,0,48,885,35,144,30,1
59,car,0,38,883,0,134,30,1
60,air,0,88,119,64,106,35,3
60,train,1,78,775,50,196,35,3
60,bus,0,43,840,53,170,35,3
60,car,0,16,855,0,146,35,3
61,air,0,105,196,69,126,6,1
61,train,1,43,895,40,140,6,1
61,bus,0,44,919,35,144,6,1
61,car,0,50,935,0,152,6,1
62,air,0,120,333,64,170,6,1
62,train,1,28,870,25,160,6,1
62,bus,0,52,890,53,187,6,1
62,car,0,38,921,0,178,6,1
63,air,0,103,146,64,125,8,2
63,train,1,36,875,25,169,8,2
63,bus,0,43,943,53,186,8,2
63,car,0,19,887,0,154,8,2
64,air,0,103,138,69,118,6,1
64,train,1,22,800,5,109,6,1
64,bus,0,43,821,35,132,6,1
64,car,0,36,846,0,128,6,1
65,air,0,116,164,64,141,12,2
65,train,1,89,685,75,193,12,2
65,bus,0,47,875,53,180,12,2
65,car,0,19,874,0,152,12,2
66,air,0,103,129,69,117,30,1
66,train,0,88,925,34,189,30,1
66,bus,1,30,790,10,116,30,1
66,car,0,50,887,0,146,30,1
67,air,0,109,230,64,144,35,2
67,train,0,101,1104,44,269,35,2
67,bus,0,56,1094,53,222,35,2
67,car,1,26,960,0,172,35,2
68,air,0,108,177,69,127,35,1
68,train,0,92,907,34,191,35,1
68,bus,1,39,850,45,131,35,1
68,car,0,52,865,0,146,35,1
69,air,0,92,161,64,117,60,3
69,train,1,73,792,40,193,60,3
69,bus,0,46,920,53,186,60,3
69,car,0,16,887,0,151,60,3
70,air,0,119,161,64,143,60,2
70,train,1,75,765,45,191,60,2
70,bus,0,51,869,53,182,60,2
70,car,0,19,898,0,155,60,2
71,air,0,109,190,64,138,12,2
71,train,1,24,399,40,85,12,2
71,bus,0,46,951,53,190,12,2
71,car,0,27,897,0,163,12,2
72,air,0,111,108,69,122,10,1
72,train,1,30,760,30,113,10,1
72,bus,0,50,867,35,144,10,1
72,car,0,47,844,0,139,10,1
73,air,0,104,246,69,131,10,1
73,train,1,23,830,25,113,10,1
73,bus,0,45,1068,35,161,10,1
73,car,0,41,978,0,147,10,1
74,air,0,104,200,69,126,15,1
74,train,1,23,835,75,114,15,1
74,bus,0,43,846,35,135,15,1
74,car,0,40,927,0,141,15,1
75,air,0,124,160,64,148,10,2
75,train,1,82,850,30,211,10,2
75,bus,0,54,893,53,189,10,2
75,car,0,19,886,0,153,10,2
76,air,0,103,145,64,125,8,1
76,train,1,73,840,50,200,8,1
76,bus,0,43,892,53,178,8,1
76,car,0,50,894,0,186,8,1
77,air,0,103,125,69,116,30,1
77,train,1,80,800,30,167,30,1
77,bus,0,42,844,35,134,30,1
77,car,0,38,861,0,132,30,1
78,air,0,113,163,64,137,20,2
78,train,0,51,948,44,195,20,2
78,bus,0,49,938,53,191,20,2
78,car,1,26,720,0,135,20,2
79,air,0,76,147,64,98,70,5
79,train,0,63,918,44,203,70,5
79,bus,0,44,908,53,182,70,5
79,car,1,10,1440,0,228,70,5
80,air,0,108,163,69,125,20,1
80,train,0,89,905,34,187,20,1
80,bus,1,43,785,30,128,20,1
80,car,0,35,879,0,130,20,1
81,air,0,127,193,69,148,60,1
81,train,0,109,888,34,205,60,1
81,bus,1,52,1025,60,163,60,1
81,car,0,50,892,0,147,60,1
82,air,0,44,100,64,59,70,4
82,train,0,25,351,44,78,70,4
82,bus,0,20,361,53,75,70,4
82,car,1,5,180,0,32,70,4
83,air,0,59,98,69,69,8,1
83,train,1,11,320,1,46,8,1
83,bus,0,13,413,35,57,8,1
83,car,0,17,332,0,53,8,1
84,air,0,59,114,69,72,30,1
84,train,1,60,337,25,97,30,1
84,bus,0,25,423,35,71,30,1
84,car,0,8,335,0,44,30,1
85,air,1,65,140,25,86,70,2
85,train,0,69,596,44,160,70,2
85,bus,0,30,590,53,120,70,2
85,car,0,16,577,0,104,70,2
86,air,0,60,67,69,67,60,1
86,train,1,37,285,10,68,60,1
86,bus,0,28,400,35,72,60,1
86,car,0,14,320,0,49,60,1
87,air,0,59,118,64,77,20,2
87,train,0,17,349,44,70,20,2
87,bus,0,14,359,53,68,20,2
87,car,1,5,240,0,41,20,2
88,air,0,61,72,69,69,15,1
88,train,1,18,305,10,51,15,1
88,bus,0,27,396,35,70,15,1
88,car,0,12,332,0,48,15,1
89,air,0,59,118,64,77,30,2
89,train,0,32,349,44,85,30,2
89,bus,0,26,359,53,80,30,2
89,car,1,6,265,0,46,30,2
90,air,0,60,74,64,71,26,2
90,train,1,40,262,20,80,26,2
90,bus,0,26,389,53,85,26,2
90,car,0,10,315,0,58,26,2
91,air,0,44,93,64,58,35,4
91,train,1,30,291,20,74,35,4
91,bus,0,19,346,53,72,35,4
91,car,0,4,316,0,52,35,4
92,air,0,58,124,69,71,12,1
92,train,1,30,340,10,67,12,1
92,bus,0,25,427,35,71,12,1
92,car,0,14,364,0,54,12,1
93,air,0,84,108,64,100,70,2
93,train,0,70,596,44,160,70,2
93,bus,0,31,590,53,120,70,2
93,car,1,15,360,0,70,70,2
94,air,1,145,90,30,158,50,1
94,train,0,31,343,44,83,50,1
94,bus,0,25,388,53,84,50,1
94,car,0,13,296,0,58,50,1
95,air,1,121,100,45,136,40,2
95,train,0,92,926,44,233,40,2
95,bus,0,47,916,53,186,40,2
95,car,0,20,885,0,154,40,2
96,air,1,84,180,30,103,70,1
96,train,0,72,707,34,149,70,1
96,bus,0,33,701,35,109,70,1
96,car,0,26,626,0,94,70,1
97,air,0,61,146,69,77,10,1
97,train,0,17,409,34,61,10,1
97,bus,1,31,300,5,64,10,1
97,car,0,13,350,0,51,10,1
98,air,1,180,160,45,197,26,1
98,train,0,89,985,34,196,26,1
98,bus,0,44,975,35,150,26,1
98,car,0,39,896,0,136,26,1
99,air,0,94,231,64,129,50,3
99,train,0,79,949,44,223,50,3
99,bus,1,32,1110,40,201,50,3
99,car,0,13,942,0,156,50,3
100,air,0,92,203,64,123,70,3
100,train,0,77,961,44,223,70,3
100,bus,0,46,951,53,190,70,3
100,car,1,17,780,0,135,70,3
101,air,0,59,111,69,71,30,1
101,train,0,31,376,34,72,30,1
101,bus,1,25,360,15,64,30,1
101,car,0,23,351,0,61,30,1
102,air,0,75,153,64,99,50,5
102,train,0,64,900,44,201,50,5
102,bus,0,45,890,53,180,50,5
102,car,1,13,720,0,122,50,5
103,air,0,58,99,69,68,20,1
103,train,0,16,366,34,55,20,1
103,bus,0,13,411,35,57,20,1
103,car,1,13,300,0,46,20,1
104,air,0,110,153,64,133,32,2
104,train,0,91,874,44,223,32,2
104,bus,0,46,864,53,177,32,2
104,car,1,21,960,0,167,32,2
105,air,0,108,187,64,136,27,2
105,train,0,90,932,44,231,27,2
105,bus,0,45,922,53,185,27,2
105,car,1,20,1440,0,238,27,2
106,air,0,104,179,69,123,30,1
106,train,0,89,978,34,195,30,1
106,bus,1,28,795,30,114,30,1
106,car,0,40,904,0,138,30,1
107,air,0,108,180,69,128,35,1
107,train,0,89,901,34,187,35,1
107,bus,0,44,891,35,141,35,1
107,car,1,34,720,0,112,35,1
108,air,0,78,146,64,100,40,4
108,train,0,66,903,44,203,40,4
108,bus,0,43,893,53,178,40,4
108,car,1,11,870,0,143,40,4
109,air,0,60,144,64,82,60,2
109,train,0,32,404,44,93,60,2
109,bus,0,26,449,53,94,60,2
109,car,1,8,270,0,49,60,2
110,air,0,78,175,64,105,40,4
110,train,0,67,932,44,208,40,4
110,bus,0,44,922,53,183,40,4
110,car,1,12,720,0,121,40,4
111,air,0,67,108,69,79,70,1
111,train,0,38,370,34,78,70,1
111,bus,0,32,415,35,77,70,1
111,car,1,12,240,0,38,70,1
112,air,0,108,200,64,139,70,2
112,train,0,90,944,44,234,70,2
112,bus,0,45,934,53,187,70,2
112,car,1,19,720,0,128,70,2
113,air,1,108,80,60,120,30,2
113,train,0,32,344,44,84,30,2
113,bus,0,26,389,53,85,30,2
113,car,0,7,315,0,55,30,2
114,air,1,58,90,30,72,35,2
114,train,0,32,506,44,109,35,2
114,bus,0,26,551,53,110,35,2
114,car,0,8,402,0,69,35,2
115,air,1,69,115,55,81,60,1
115,train,0,43,392,34,85,60,1
115,bus,0,37,437,35,84,60,1
115,car,0,13,268,0,42,60,1
116,air,1,66,105,40,77,45,1
116,train,0,31,372,34,71,45,1
116,bus,0,25,417,35,70,45,1
116,car,0,18,327,0,54,45,1
117,air,0,57,67,69,65,45,1
117,train,0,31,355,34,69,45,1
117,bus,1,18,245,40,45,45,1
117,car,0,13,320,0,48,45,1
118,air,0,129,185,69,149,6,1
118,train,0,67,933,34,168,6,1
118,bus,1,54,820,20,143,6,1
118,car,0,38,894,0,135,6,1
119,air,1,151,95,90,161,36,1
119,train,0,96,895,34,193,36,1
119,bus,0,51,885,35,147,36,1
119,car,0,35,844,0,127,36,1
120,air,1,70,85,10,80,20,1
120,train,0,34,351,34,72,20,1
120,bus,0,28,396,35,71,20,1
120,car,0,22,307,0,55,20,1
121,air,1,75,100,25,90,20,2
121,train,0,15,348,44,68,20,2
121,bus,0,12,393,53,72,20,2
121,car,0,7,290,0,51,20,2
122,air,1,110,260,99,138,26,1
122,train,0,92,934,34,193,26,1
122,bus,0,47,924,35,147,26,1
122,car,0,45,816,0,134,26,1
123,air,1,94,195,30,115,29,1
123,train,0,89,943,34,191,29,1
123,bus,0,44,933,35,145,29,1
123,car,0,58,912,0,157,29,1
124,air,1,95,155,35,119,8,2
124,train,0,45,930,44,186,8,2
124,bus,0,43,920,53,183,8,2
124,car,0,23,860,0,153,8,2
125,air,0,104,178,69,123,32,1
125,train,0,89,992,34,197,32,1
125,bus,1,38,675,15,111,32,1
125,car,0,39,900,0,137,32,1
126,air,0,103,170,64,129,45,2
126,train,0,88,889,44,222,45,2
126,bus,1,35,770,30,152,45,2
126,car,0,18,905,0,155,45,2
127,air,0,86,167,64,112,45,3
127,train,0,75,972,44,222,45,3
127,bus,0,44,962,53,190,45,3
127,car,1,13,870,0,145,45,3
128,air,0,108,139,64,129,26,2
128,train,0,90,862,44,220,26,2
128,bus,1,36,780,30,154,26,2
128,car,0,18,875,0,151,26,2
129,air,0,59,106,69,71,60,1
129,train,0,31,372,34,71,60,1
129,bus,0,25,417,35,70,60,1
129,car,1,13,300,0,46,60,1
130,air,0,58,124,64,77,10,2
130,train,1,35,380,10,92,10,2
130,bus,0,13,427,53,78,10,2
130,car,0,8,364,0,63,10,2
131,air,0,107,153,64,131,45,2
131,train,0,89,880,44,222,45,2
131,bus,0,44,870,53,176,45,2
131,car,1,2,660,0,102,45,2
132,air,0,86,143,64,108,60,3
132,train,0,74,880,44,207,60,3
132,bus,0,43,870,53,175,60,3
132,car,1,16,660,0,116,60,3
133,air,0,108,196,69,129,60,1
133,train,0,91,967,34,196,60,1
133,bus,1,35,935,15,136,60,1
133,car,0,38,903,0,136,60,1
134,air,0,103,149,69,119,8,1
134,train,0,45,892,34,142,8,1
134,bus,1,25,730,25,104,8,1
134,car,0,37,882,0,133,8,1
135,air,0,103,160,64,127,60,2
135,train,0,89,987,44,239,60,2
135,bus,0,44,977,53,192,60,2
135,car,1,34,660,0,134,60,2
136,air,0,114,161,64,138,12,2
136,train,0,60,1031,44,217,12,2
136,bus,0,58,1021,53,213,12,2
136,car,1,19,720,0,128,12,2
137,air,0,107,150,69,123,45,1
137,train,0,91,914,34,190,45,1
137,bus,0,46,904,35,144,45,1
137,car,1,36,750,0,117,45,1
138,air,0,118,137,69,132,50,1
138,train,0,96,904,34,194,50,1
138,bus,1,65,850,5,157,50,1
138,car,0,64,859,0,157,50,1
139,air,0,102,101,69,113,26,1
139,train,0,87,870,34,182,26,1
139,bus,1,35,800,45,122,26,1
139,car,0,35,825,0,125,26,1
140,air,0,85,101,64,101,35,3
140,train,0,73,870,44,205,35,3
140,bus,0,42,860,53,173,35,3
140,car,1,12,600,0,103,35,3
141,air,0,107,158,69,125,12,1
141,train,1,61,780,30,146,12,1
141,bus,0,45,901,35,143,12,1
141,car,0,54,853,0,147,12,1
142,air,0,113,244,69,140,15,1
142,train,1,67,845,30,158,15,1
142,bus,0,49,893,35,146,15,1
142,car,0,47,868,0,141,15,1
143,air,0,84,215,64,117,12,4
143,train,1,37,885,99,171,12,4
143,bus,0,46,966,53,193,12,4
143,car,0,10,921,0,150,12,4
144,air,0,94,163,64,119,35,3
144,train,1,68,755,25,183,35,3
144,bus,0,47,895,53,183,35,3
144,car,0,16,879,0,149,35,3
145,air,0,112,161,69,129,26,1
145,train,1,21,797,15,108,26,1
145,bus,0,45,876,35,140,26,1
145,car,0,47,852,0,140,26,1
146,air,0,103,166,69,121,6,1
146,train,1,20,820,45,109,6,1
146,bus,0,43,836,35,134,6,1
146,car,0,35,886,0,131,6,1
147,air,0,107,152,69,124,4,1
147,train,1,33,755,30,115,4,1
147,bus,0,44,882,35,140,4,1
147,car,0,48,845,0,140,4,1
148,air,0,103,164,64,128,40,2
148,train,1,41,730,10,152,40,2
148,bus,0,43,925,53,183,40,2
148,car,0,19,898,0,155,40,2
149,air,0,143,166,64,168,40,1
149,train,1,83,825,10,208,40,1
149,bus,0,70,896,53,206,40,1
149,car,0,50,911,0,188,40,1
150,air,1,94,270,45,123,60,1
150,train,0,91,916,34,190,60,1
150,bus,0,46,906,35,144,60,1
150,car,0,49,872,0,144,60,1
151,air,1,138,115,45,150,4,1
151,train,0,60,880,34,156,4,1
151,bus,0,58,870,35,153,4,1
151,car,0,47,888,0,143,4,1
152,air,1,102,250,60,129,50,1
152,train,0,112,997,34,220,50,1
152,bus,0,67,952,35,170,50,1
152,car,0,43,971,0,148,50,1
153,air,1,151,255,60,190,60,2
153,train,0,91,941,44,234,60,2
153,bus,0,46,931,53,187,60,2
153,car,0,21,959,0,166,60,2
154,air,1,111,205,60,133,70,1
154,train,0,97,888,34,193,70,1
154,bus,0,52,878,35,147,70,1
154,car,0,49,855,0,142,70,1
155,air,1,70,95,60,93,40,2
155,train,0,31,360,44,85,40,2
155,bus,0,25,405,53,86,40,2
155,car,0,7,335,0,58,40,2
156,air,1,74,70,45,85,35,3
156,train,0,26,361,44,81,35,3
156,bus,0,21,406,53,82,35,3
156,car,0,4,315,0,52,35,3
157,air,1,165,180,75,192,60,2
157,train,0,98,967,44,245,60,2
157,bus,0,53,922,53,193,60,2
157,car,0,26,947,0,170,60,2
158,air,1,93,175,30,112,60,1
158,train,0,96,1030,34,208,60,1
158,bus,0,51,1020,35,162,60,1
158,car,0,54,967,0,159,60,1
159,air,1,71,115,90,89,50,2
159,train,0,31,385,44,89,50,2
159,bus,0,25,430,53,90,50,2
159,car,0,7,332,0,57,50,2
160,air,1,75,75,45,96,40,3
160,train,0,33,418,44,96,40,3
160,bus,0,28,463,53,98,40,3
160,car,0,5,291,0,49,40,3
161,air,1,81,70,60,89,60,1
161,train,0,32,341,34,69,60,1
161,bus,0,26,386,35,68,60,1
161,car,0,13,307,0,46,60,1
162,air,1,94,95,75,104,20,1
162,train,0,33,367,34,73,20,1
162,bus,0,27,412,35,72,20,1
162,car,0,14,314,0,48,20,1
163,air,0,70,158,64,93,50,3
163,train,0,61,778,44,179,50,3
163,bus,0,34,772,53,151,50,3
163,car,1,11,470,0,82,50,3
164,air,0,65,145,64,87,70,4
164,train,0,54,674,44,156,70,4
164,bus,0,33,668,53,135,70,4
164,car,1,8,560,0,93,70,4
165,air,0,71,133,64,91,50,3
165,train,0,59,625,44,153,50,3
165,bus,0,32,619,53,126,50,3
165,car,1,8,510,0,85,50,3
166,air,0,81,139,69,96,26,1
166,train,0,71,698,34,147,26,1
166,bus,0,32,692,35,107,26,1
166,car,1,33,600,0,98,26,1
167,air,0,65,154,64,89,45,4
167,train,0,53,621,44,147,45,4
167,bus,0,32,615,53,125,45,4
167,car,1,9,535,0,90,45,4
168,air,0,58,148,64,80,45,6
168,train,0,48,646,44,145,45,6
168,bus,0,32,640,53,129,45,6
168,car,1,5,470,0,76,45,6
169,air,0,81,95,69,91,30,1
169,train,0,70,610,34,136,30,1
169,bus,0,31,604,35,96,30,1
169,car,1,30,440,0,78,30,1
170,air,0,71,145,64,93,40,3
170,train,0,59,658,44,159,40,3
170,bus,0,32,652,53,131,40,3
170,car,1,10,590,0,100,40,3
171,air,0,82,159,64,106,50,2
171,train,0,71,765,44,187,50,2
171,bus,0,32,759,53,147,50,2
171,car,1,13,490,0,87,50,2
172,air,0,61,73,69,69,35,1
172,train,0,33,350,34,71,35,1
172,bus,1,26,227,50,51,35,1
172,car,0,14,314,0,48,35,1
173,air,0,60,133,69,74,34,1
173,train,0,31,397,34,74,34,1
173,bus,1,21,240,15,47,34,1
173,car,0,14,351,0,52,34,1
174,air,0,81,129,64,101,8,2
174,train,0,35,677,44,138,8,2
174,bus,1,31,565,15,117,8,2
174,car,0,12,588,0,101,8,2
175,air,0,59,117,69,72,30,1
175,train,0,32,397,34,75,30,1
175,bus,0,26,442,35,74,30,1
175,car,1,17,180,0,37,30,1
176,air,0,111,276,69,141,32,1
176,train,0,93,1047,34,207,32,1
176,bus,1,35,860,30,128,32,1
176,car,0,42,1008,0,151,32,1
177,air,0,59,88,69,68,26,1
177,train,0,30,361,34,70,26,1
177,bus,1,21,295,15,53,26,1
177,car,0,13,299,0,45,26,1
178,air,0,59,114,69,71,42,1
178,train,0,31,389,34,73,42,1
178,bus,1,21,243,15,47,42,1
178,car,0,13,334,0,49,42,1
179,air,1,55,115,90,72,50,1
179,train,0,72,602,44,163,50,1
179,bus,0,33,596,53,123,50,1
179,car,0,24,589,0,113,50,1
180,air,1,87,110,15,104,70,2
180,train,0,31,348,44,84,70,2
180,bus,0,25,393,53,85,70,2
180,car,0,7,320,0,56,70,2
181,air,0,62,76,69,71,30,1
181,train,0,39,377,34,80,30,1
181,bus,0,33,422,35,79,30,1
181,car,1,12,300,0,45,30,1
182,air,0,59,121,69,72,26,1
182,train,0,31,386,34,73,26,1
182,bus,0,25,431,35,72,26,1
182,car,1,14,270,0,43,26,1
183,air,0,51,90,64,64,26,3
183,train,1,61,350,20,114,26,3
183,bus,0,22,405,53,83,26,3
183,car,0,6,327,0,56,26,3
184,air,0,64,215,64,97,18,2
184,train,1,41,420,50,104,18,2
184,bus,0,15,385,53,73,18,2
184,car,0,9,321,0,58,18,2
185,air,0,58,74,64,69,35,2
185,train,1,21,295,30,66,35,2
185,bus,0,24,389,53,83,35,2
185,car,0,7,315,0,55,35,2
186,air,0,71,119,64,89,50,3
186,train,0,58,617,44,152,50,3
186,bus,1,35,615,15,128,50,3
186,car,0,11,586,0,100,50,3
187,air,1,50,75,15,58,4,1
187,train,0,15,361,34,55,4,1
187,bus,0,12,406,35,56,4,1
187,car,0,13,315,0,47,4,1
188,air,1,61,80,10,73,30,4
188,train,0,24,350,44,77,30,4
188,bus,0,19,395,53,79,30,4
188,car,0,4,314,0,52,30,4
189,air,0,59,100,69,70,45,1
189,train,0,31,372,34,71,45,1
189,bus,0,25,417,35,70,45,1
189,car,1,13,210,0,36,45,1
190,air,0,58,73,69,66,60,1
190,train,0,31,324,34,66,60,1
190,bus,0,25,334,35,61,60,1
190,car,1,18,240,0,44,60,1
191,air,0,62,184,69,82,4,1
191,train,0,19,454,34,68,4,1
191,bus,0,16,464,35,66,4,1
