obs,survived,pclass,sex,age,sibsp,parch,fare,embarked,solo
30,1,3rd,female,19.46062963,1,0,15.5,Queenstown,0
31,1,3rd,female,19.46062963,1,0,15.5,Queenstown,0
32,1,3rd,female,24.03332354,0,0,15.5,Queenstown,1
33,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
34,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
35,0,3rd,female,24.64178708,0,0,7.75,Queenstown,1
36,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
37,0,1st,male,38.78556661,0,0,221.779205,Southampton,1
38,0,3rd,male,32.63490067,1,0,15.5,Queenstown,0
39,0,3rd,male,31.60848557,0,0,7.82919979,Queenstown,1
40,1,3rd,female,30.27176838,1,0,15.5,Queenstown,0
41,0,3rd,male,30.2923353,0,0,7.73330021,Queenstown,1
42,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
43,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
44,0,3rd,female,27.23783767,0,0,7.75,Queenstown,1
45,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
46,1,3rd,female,24.21327665,0,0,7.87919998,Queenstown,1
47,1,1st,female,46.2966633,0,0,31.6833,Southampton,1
48,1,3rd,male,32.89787305,0,0,7.75,Queenstown,1
49,1,3rd,female,24.23097949,0,0,7.82919979,Queenstown,1
50,0,3rd,male,28.93813683,0,0,7.3125,Southampton,1
51,1,1st,female,33.77274048,0,0,110.883301,Cherbourg,1
52,0,3rd,female,23.90074407,0,0,7.62919998,Queenstown,1
53,0,3rd,male,28.16179312,0,0,8.71249962,Cherbourg,1
54,0,3rd,male,30.03553815,0,0,7,Southampton,1
55,0,3rd,male,28.42336593,0,0,7.7750001,Southampton,1
56,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
57,1,3rd,male,6.819229993,1,1,22.3582993,Cherbourg,0
58,1,3rd,female,8.013894558,1,1,22.3582993,Cherbourg,0
59,1,3rd,female,28.73531609,0,2,22.3582993,Cherbourg,0
60,0,3rd,female,23.94472163,0,0,8.13749981,Queenstown,1
61,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
62,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
63,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
64,0,3rd,female,35.43589781,0,0,8.11250019,Southampton,1
65,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
66,0,3rd,male,28.96514966,0,0,7.25,Southampton,1
67,1,3rd,female,23.79731296,0,0,7.72079992,Queenstown,1
68,0,3rd,male,29.45705419,0,0,14.5,Southampton,1
69,0,3rd,female,35.44327731,0,0,14.5,Southampton,1
70,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
71,0,3rd,male,28.42336593,0,0,7.7750001,Southampton,1
72,1,3rd,female,24.53010458,0,0,8.05000019,Southampton,1
73,1,3rd,male,32.89787305,0,0,7.75,Queenstown,1
74,0,3rd,male,34.35676501,0,0,24.1499996,Queenstown,1
75,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
76,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
77,0,3rd,male,30.2923353,0,0,7.72919989,Queenstown,1
78,0,3rd,male,28.84137123,0,0,7.57499981,Southampton,1
79,0,3rd,male,11.31903165,8,2,69.5500031,Southampton,0
80,0,3rd,female,15.00885191,8,2,69.5500031,Southampton,0
81,0,3rd,female,15.00885191,8,2,69.5500031,Southampton,0
82,0,3rd,female,15.00885191,8,2,69.5500031,Southampton,0
83,0,3rd,female,15.00885191,8,2,69.5500031,Southampton,0
84,0,3rd,male,20.37112736,8,2,69.5500031,Southampton,0
85,0,3rd,male,20.37112736,8,2,69.5500031,Southampton,0
86,0,3rd,male,20.37112736,8,2,69.5500031,Southampton,0
87,0,3rd,male,38.5462127,1,9,69.5500031,Southampton,0
88,0,3rd,female,41.0373569,1,9,69.5500031,Southampton,0
89,0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,0
90,0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,0
91,0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,0
92,0,1st,male,43.56097659,0,0,26.5499992,Southampton,1
93,0,3rd,male,30.2923353,0,0,7.7249999,Queenstown,1
94,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
95,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
96,0,3rd,male,29.70321061,0,0,15.1000004,Southampton,1
97,1,3rd,female,24.42540946,0,0,7.77920008,Queenstown,1
98,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
99,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
100,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
101,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
102,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
103,0,3rd,male,27.93408629,0,0,8.66250038,Southampton,1
104,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
105,1,3rd,female,23.75251296,0,0,7.73330021,Queenstown,1
106,1,1st,female,38.95678374,1,0,133.649994,Southampton,0
107,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
108,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
109,0,3rd,male,25.0190534,1,0,6.4375,Cherbourg,0
110,0,3rd,male,29.88004539,0,0,6.4375,Cherbourg,1
111,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
112,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
113,0,3rd,male,29.30449648,1,0,16.1000004,Southampton,0
114,1,3rd,female,29.62030126,1,0,16.1000004,Southampton,0
115,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
116,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
117,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
118,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
119,0,1st,male,41.0031911,0,0,0,Southampton,1
120,0,3rd,male,6.293882524,1,1,14.5,Southampton,0
121,0,3rd,male,27.97228133,0,0,9.5,Southampton,1
122,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
123,0,3rd,male,28.85594301,0,0,7.55000019,Southampton,1
124,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
125,0,3rd,male,27.93621962,0,0,8.71249962,Southampton,1
126,0,3rd,male,28.85594301,0,0,7.55000019,Southampton,1
127,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
128,0,3rd,male,28.96514966,0,0,7.25,Southampton,1
129,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
130,0,3rd,male,27.22598898,0,0,14.4582996,Cherbourg,1
131,0,3rd,female,18.33951678,1,0,14.4541998,Cherbourg,0
132,1,1st,female,37.40417954,1,0,89.1042023,Cherbourg,0
133,0,1st,male,41.65018865,0,0,42.4000015,Southampton,1
134,1,1st,male,43.81698257,0,0,30,Southampton,1
135,0,1st,male,41.30166369,0,0,51.8624992,Southampton,1
136,0,1st,male,43.12935852,0,0,25.9249992,Southampton,1
137,0,1st,male,42.60466645,0,0,30.6958008,Cherbourg,1
138,1,1st,female,38.60905536,1,0,51.8624992,Southampton,0
139,0,1st,male,43.56097659,0,0,26.5499992,Southampton,1
140,0,1st,male,39.90609385,0,0,27.7208004,Cherbourg,1
141,1,1st,male,41.42749058,0,0,29.7000008,Cherbourg,1
142,1,1st,female,39.00751392,1,0,82.1707993,Cherbourg,0
143,1,1st,male,38.88355052,0,0,25.7416992,Cherbourg,1
144,0,1st,male,41.0031911,0,0,0,Southampton,1
145,1,1st,male,41.95579549,0,0,39.5999985,Southampton,1
146,0,1st,male,36.69019269,0,0,227.524994,Cherbourg,1
147,0,1st,male,41.85672486,0,0,50,Southampton,1
148,1,1st,male,43.51905443,0,0,30.5,Southampton,1
149,1,1st,male,43.10235476,0,0,26,Southampton,1
150,0,1st,male,43.10235476,0,0,26,Southampton,1
151,1,1st,female,36.09832203,1,0,146.520798,Cherbourg,0
152,0,1st,male,39.90609385,0,0,27.7208004,Cherbourg,1
153,1,1st,female,38.00279485,1,0,52,Southampton,0
154,1,1st,female,47.90020605,0,0,79.1999969,Cherbourg,1
155,0,1st,male,43.28182302,0,0,35,Southampton,1
156,1,1st,male,42.54557367,0,0,35.5,Southampton,1
157,0,2nd,male,34.58418323,0,0,0,Southampton,1
158,1,1st,male,43.56097659,0,0,26.5499992,Southampton,1
159,0,2nd,female,34.19675895,0,0,21,Southampton,1
160,0,2nd,male,34.58418323,0,0,0,Southampton,1
161,0,1st,male,41.16587908,0,0,39.5999985,Cherbourg,1
162,0,2nd,male,34.58418323,0,0,0,Southampton,1
163,0,1st,male,43.73572026,0,0,31,Southampton,1
164,1,2nd,female,29.24878255,0,0,12.3500004,Queenstown,1
165,0,2nd,male,34.58418323,0,0,0,Southampton,1
166,0,2nd,male,41.25148568,0,0,10.7082996,Queenstown,1
167,1,2nd,female,25.97566886,0,0,33,Southampton,1
168,0,2nd,male,30.61283728,0,0,15.0458002,Cherbourg,1
169,0,2nd,male,30.56170827,0,0,15.5791998,Cherbourg,1
170,1,2nd,male,30.05815533,0,0,13.8625002,Cherbourg,1
171,0,2nd,male,34.58418323,0,0,0,Southampton,1
172,0,2nd,male,30.61283728,0,0,15.0500002,Cherbourg,1
173,0,2nd,male,34.58418323,0,0,0,Southampton,1
174,0,2nd,male,32.070393,0,0,12.875,Southampton,1
175,1,2nd,male,32.0480892,0,0,13,Southampton,1
176,1,1st,female,47.17070998,0,0,27.7208004,Cherbourg,1
177,0,3rd,male,18.51650494,0,0,7.22919989,Cherbourg,1
178,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
179,0,3rd,female,28.98645715,0,2,15.2458,Cherbourg,0
180,0,3rd,female,13.83061943,0,2,7.75,Queenstown,0
181,1,1st,female,42.40982186,0,1,55,Southampton,0
182,0,3rd,male,25.10719569,1,0,14.4582996,Cherbourg,0
183,0,3rd,female,23.84423377,1,0,14.4582996,Cherbourg,0
184,0,1st,male,41.0031911,0,0,0,Southampton,1
185,0,1st,male,40.78751921,0,0,52,Southampton,1
186,0,3rd,male,29.30449648,1,0,16.1000004,Southampton,0
187,1,3rd,female,29.62030126,1,0,16.1000004,Southampton,0
188,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
189,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
190,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
191,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
192,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
193,1,3rd,male,29.1772649,0,0,7.05000019,Southampton,1
194,0,3rd,female,24.64178708,0,0,7.75,Queenstown,1
195,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
196,0,3rd,male,30.11999293,0,0,6.94999981,Queenstown,1
197,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
198,1,3rd,male,30.82150529,0,0,56.4958,Southampton,1
199,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
200,0,1st,male,43.56097659,0,0,26.5499992,Southampton,1
201,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
202,0,3rd,male,28.96514966,0,0,7.25,Southampton,1
203,0,3rd,male,29.45705419,0,0,14.5,Southampton,1
204,0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,1
205,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
206,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
207,0,3rd,male,28.52003877,1,0,19.9666996,Southampton,0
208,0,3rd,male,28.52003877,1,0,19.9666996,Southampton,0
209,0,3rd,female,23.96340735,0,0,7.55000019,Southampton,1
210,0,3rd,male,30.07290833,0,0,6.85830021,Queenstown,1
211,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
212,1,3rd,male,30.82150529,0,0,56.4958,Southampton,1
213,0,3rd,female,24.64178708,0,0,7.75,Queenstown,1
214,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
215,1,3rd,female,24.53010458,0,0,8.05000019,Southampton,1
216,1,3rd,male,28.29388579,0,0,7.88749981,Southampton,1
217,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
218,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
219,0,3rd,male,29.1772649,0,0,7.05000019,Southampton,1
220,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
221,1,3rd,male,28.11418894,0,0,8.11250019,Southampton,1
222,0,3rd,male,6.416285906,1,2,23.4500008,Southampton,0
223,0,3rd,female,7.93791932,1,2,23.4500008,Southampton,0
224,0,3rd,male,29.42471059,1,2,23.4500008,Southampton,0
225,0,3rd,female,31.51522876,1,2,23.4500008,Southampton,0
226,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
227,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
228,0,3rd,male,28.96514966,0,0,7.25,Southampton,1
229,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
230,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
231,1,3rd,male,32.89787305,0,0,7.75,Queenstown,1
232,0,3rd,male,25.11002903,1,0,14.4541998,Cherbourg,0
233,0,3rd,female,23.84123377,1,0,14.4541998,Cherbourg,0
234,0,3rd,male,28.71780659,1,0,7.75,Queenstown,0
235,0,3rd,male,28.71780659,1,0,7.75,Queenstown,0
236,0,3rd,male,30.2923353,0,0,7.73750019,Queenstown,1
237,0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,1
238,0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,1
239,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
240,1,3rd,male,30.82150529,0,0,56.4958,Southampton,1
241,0,3rd,male,30.82150529,0,0,56.4958,Southampton,1
242,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
243,0,3rd,male,6.156919623,3,1,25.4666996,Southampton,0
244,0,3rd,female,8.030947356,3,1,25.4666996,Southampton,0
245,0,3rd,female,8.030947356,3,1,25.4666996,Southampton,0
246,0,3rd,female,8.030947356,3,1,25.4666996,Southampton,0
247,0,3rd,female,37.02816445,0,4,25.4666996,Southampton,0
248,0,3rd,female,19.46062963,1,0,15.5,Queenstown,0
249,0,3rd,male,32.63490067,1,0,15.5,Queenstown,0
250,0,3rd,male,31.57560988,0,0,7.87919998,Queenstown,1
251,0,3rd,male,28.85594301,0,0,7.55000019,Southampton,1
252,0,3rd,male,28.29539245,0,0,7.87919998,Southampton,1
253,0,3rd,male,28.3087214,0,0,7.89580011,Southampton,1
254,0,3rd,male,28.85594301,0,0,7.55000019,Southampton,1
255,1,3rd,female,24.64178708,0,0,7.75,Queenstown,1
256,0,3rd,female,24.21327665,0,0,7.87919998,Queenstown,1
257,0,3rd,male,32.89787305,0,0,7.75,Queenstown,1
258,0,3rd,male,28.42425189,0,0,8.05000019,Southampton,1
259,1,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
260,1,3rd,female,23.78620038,0,0,7.73750019,Queenstown,1
261,0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,1
262,1,3rd,female,33.21154155,0,0,7.2249999,Cherbourg,1
263,0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,1
264,1,1st,female,29,0,0,211.337494,Southampton,1
265,0,1st,male,71,0,0,49.5042,Cherbourg,1
266,1,1st,female,48,1,0,39.5999985,Cherbourg,0
267,1,3rd,female,15,0,0,8.0291996,Queenstown,1
268,0,3rd,female,35,0,0,7.75,Queenstown,1
269,1,1st,male,49,1,0,56.9291992,Cherbourg,0
270,0,3rd,male,24,1,0,16.1000004,Southampton,0
271,0,3rd,female,19,1,0,16.1000004,Southampton,0
272,0,3rd,male,55.5,0,0,8.05000019,Southampton,1
273,1,3rd,male,21,0,0,7.7750001,Southampton,1
274,0,1st,male,39,0,0,29.7000008,Cherbourg,1
275,0,3rd,male,24,0,0,7.89580011,Southampton,1
276,0,3rd,male,21,0,0,7.89580011,Southampton,1
277,0,3rd,male,28,0,0,7.89580011,Southampton,1
278,0,3rd,male,25,0,0,7.6500001,Southampton,1
279,1,3rd,male,6,0,1,12.4750004,Southampton,0
280,1,3rd,female,27,0,1,12.4750004,Southampton,0
281,1,1st,female,23,0,1,83.1583023,Cherbourg,0
282,0,3rd,male,34,0,0,8.05000019,Southampton,1
283,1,1st,female,38,0,0,227.524994,Cherbourg,1
284,1,3rd,female,24,0,0,7.75,Queenstown,1
285,0,3rd,male,18,0,0,7.75,Southampton,1
286,0,3rd,male,22,0,0,7.89580011,Southampton,1
287,1,3rd,female,15,0,0,7.2249999,Cherbourg,1
288,1,3rd,female,1,0,2,15.7417002,Cherbourg,0
289,1,1st,female,54,1,0,78.2667007,Cherbourg,0
290,1,3rd,male,20,1,1,15.7417002,Cherbourg,0
291,1,3rd,female,19,1,1,15.7417002,Cherbourg,0
292,0,3rd,male,33,0,0,8.05000019,Southampton,1
293,1,3rd,male,12,1,0,11.2417002,Cherbourg,0
294,1,3rd,female,14,1,0,11.2417002,Cherbourg,0
295,0,3rd,female,29,0,0,7.92500019,Southampton,1
296,0,1st,female,36,0,0,31.6791992,Cherbourg,1
297,0,3rd,male,28,0,0,8.05000019,Southampton,1
298,1,3rd,female,18,0,0,7.7750001,Southampton,1
299,1,3rd,female,26,0,0,7.85419989,Southampton,1
300,0,3rd,male,21,0,0,7.85419989,Southampton,1
301,0,3rd,male,41,0,0,7.125,Southampton,1
302,1,3rd,male,39,0,0,7.92500019,Southampton,1
303,0,3rd,male,21,0,0,7.80000019,Southampton,1
304,0,3rd,male,28.5,0,0,7.22919989,Cherbourg,1
305,1,3rd,female,22,0,0,7.75,Southampton,1
306,0,3rd,male,61,0,0,6.23750019,Southampton,1
307,0,3rd,male,23,0,0,9.22500038,Southampton,1
308,1,3rd,female,22,0,0,7.7750001,Southampton,1
309,1,3rd,male,9,0,1,3.17079997,Southampton,0
310,0,3rd,male,28,0,0,22.5249996,Southampton,1
311,0,3rd,male,42,0,1,8.4041996,Southampton,0
312,0,3rd,female,31,0,0,7.85419989,Southampton,1
313,0,3rd,male,28,0,0,7.85419989,Southampton,1
314,1,3rd,male,32,0,0,7.7750001,Southampton,1
315,0,3rd,male,20,0,0,9.22500038,Southampton,1
316,0,3rd,female,23,0,0,8.66250038,Southampton,1
317,0,3rd,female,20,0,0,8.66250038,Southampton,1
318,0,3rd,male,20,0,0,8.66250038,Southampton,1
319,0,3rd,male,16,0,0,9.2166996,Southampton,1
320,1,3rd,female,31,0,0,8.68330002,Southampton,1
321,0,3rd,male,2,3,1,21.0750008,Southampton,0
322,0,3rd,male,6,3,1,21.0750008,Southampton,0
323,0,3rd,female,3,3,1,21.0750008,Southampton,0
324,0,1st,male,47,1,0,227.524994,Cherbourg,0
325,1,1st,male,36,0,0,26.3875008,Southampton,1
326,0,3rd,female,8,3,1,21.0750008,Southampton,0
327,0,3rd,female,29,0,4,21.0750008,Southampton,0
328,0,3rd,male,1,4,1,39.6875,Southampton,0
329,0,3rd,male,7,4,1,39.6875,Southampton,0
330,0,3rd,male,2,4,1,39.6875,Southampton,0
331,0,3rd,male,16,4,1,39.6875,Southampton,0
332,0,3rd,male,14,4,1,39.6875,Southampton,0
333,0,3rd,female,41,0,5,39.6875,Southampton,0
334,0,3rd,male,21,0,0,8.66250038,Southampton,1
335,0,3rd,male,19,0,0,14.5,Southampton,1
336,0,1st,male,30,0,0,27.75,Cherbourg,1
337,0,3rd,male,32,0,0,7.89580011,Southampton,1
338,0,3rd,male,0.75,1,1,13.7749996,Southampton,0
339,0,3rd,female,3,1,1,13.7749996,Southampton,0
340,0,3rd,female,26,0,2,13.7749996,Southampton,0
341,0,3rd,male,21,0,0,7.92500019,Southampton,1
342,0,3rd,male,25,0,0,7.92500019,Southampton,1
343,1,1st,female,24,3,2,263,Southampton,0
344,0,3rd,male,22,0,0,7.25,Southampton,1
345,1,3rd,male,25,1,0,7.7750001,Southampton,0
346,0,3rd,male,24,0,0,8.05000019,Southampton,1
347,0,3rd,female,28,0,0,7.89580011,Southampton,1
348,0,3rd,male,19,0,0,7.89580011,Southampton,1
349,1,1st,female,28,3,2,263,Southampton,0
350,0,3rd,male,25,1,0,7.7750001,Southampton,0
351,0,3rd,female,18,0,0,7.7750001,Southampton,1
352,1,3rd,male,32,0,0,8.05000019,Southampton,1
353,0,3rd,male,17,0,0,8.66250038,Southampton,1
354,0,3rd,male,24,0,0,8.66250038,Southampton,1
355,1,1st,female,23,3,2,263,Southampton,0
356,0,3rd,male,38,0,0,7.89580011,Southampton,1
357,0,3rd,male,21,0,0,8.05000019,Southampton,1
358,0,3rd,male,10,4,1,29.125,Queenstown,0
359,0,3rd,male,4,4,1,29.125,Queenstown,0
360,0,3rd,male,7,4,1,29.125,Queenstown,0
361,0,3rd,male,2,4,1,29.125,Queenstown,0
362,0,3rd,male,8,4,1,29.125,Queenstown,0
363,0,3rd,female,39,0,5,29.125,Queenstown,0
364,0,3rd,female,22,0,0,39.6875,Southampton,1
365,0,3rd,male,35,0,0,7.125,Southampton,1
366,0,1st,male,19,3,2,263,Southampton,0
367,0,3rd,male,50,1,0,14.5,Southampton,0
368,0,3rd,female,47,1,0,14.5,Southampton,0
369,0,3rd,female,2,1,1,20.2124996,Southampton,0
370,0,3rd,male,18,1,1,20.2124996,Southampton,0
371,0,3rd,female,41,0,2,20.2124996,Southampton,0
372,0,1st,male,64,1,4,263,Southampton,0
373,0,3rd,male,50,0,0,8.05000019,Southampton,1
374,0,3rd,male,16,0,0,8.05000019,Southampton,1
375,0,3rd,male,25,0,0,7.2249999,Cherbourg,1
376,1,1st,female,60,1,4,263,Southampton,0
377,0,3rd,male,38.5,0,0,7.25,Southampton,1
378,0,3rd,male,14.5,8,2,69.5500031,Southampton,0
379,1,1st,female,30,0,0,56.9291992,Cherbourg,1
380,0,3rd,male,24,0,0,9.32499981,Southampton,1
381,1,3rd,female,21,0,0,7.6500001,Southampton,1
382,0,3rd,male,39,0,0,7.92500019,Southampton,1
383,1,3rd,female,1,1,1,16.7000008,Southampton,0
384,1,3rd,female,24,0,2,16.7000008,Southampton,0
385,1,3rd,female,4,1,1,16.7000008,Southampton,0
386,1,3rd,male,25,0,0,9.5,Southampton,1
387,0,3rd,male,20,0,0,8.05000019,Southampton,1
388,0,3rd,male,24.5,0,0,8.05000019,Southampton,1
389,1,3rd,male,29,0,0,9.5,Southampton,1
390,1,1st,female,18,1,0,227.524994,Cherbourg,0
391,1,1st,male,50,2,0,133.649994,Southampton,0
392,0,3rd,male,22,0,0,7.22919989,Cherbourg,1
393,0,3rd,male,40,0,0,7.89580011,Southampton,1
394,0,3rd,male,21,0,0,7.92500019,Southampton,1
395,1,3rd,female,18,0,0,7.49580002,Southampton,1
396,0,3rd,male,4,3,2,27.8999996,Southampton,0
397,0,3rd,male,10,3,2,27.8999996,Southampton,0
398,0,3rd,female,9,3,2,27.8999996,Southampton,0
399,1,1st,male,43,1,0,27.7208004,Cherbourg,0
400,0,3rd,female,2,3,2,27.8999996,Southampton,0
401,0,3rd,male,40,1,4,27.8999996,Southampton,0
402,0,3rd,female,45,1,4,27.8999996,Southampton,0
403,0,3rd,male,19,0,0,7.6500001,Southampton,1
404,0,3rd,male,30,0,0,8.05000019,Southampton,1
405,0,3rd,male,32,0,0,8.05000019,Southampton,1
406,0,3rd,male,33,0,0,8.66250038,Cherbourg,1
407,1,3rd,female,23,0,0,7.55000019,Southampton,1
408,0,3rd,male,21,0,0,8.05000019,Southampton,1
409,0,3rd,male,60.5,0,0,33.29547939,Southampton,1
410,0,3rd,male,19,0,0,7.89580011,Southampton,1
411,0,3rd,female,22,0,0,9.83749962,Southampton,1
412,1,3rd,male,31,0,0,7.92500019,Southampton,1
413,1,1st,female,22,0,2,49.5,Cherbourg,0
414,0,3rd,male,27,0,0,8.66250038,Southampton,1
415,0,3rd,female,2,0,1,10.4624996,Southampton,0
416,0,3rd,female,29,1,1,10.4624996,Southampton,0
417,1,3rd,male,16,0,0,8.05000019,Southampton,1
418,1,3rd,male,44,0,0,7.92500019,Southampton,1
419,0,3rd,male,25,0,0,7.05000019,Southampton,1
420,0,3rd,male,74,0,0,7.7750001,Southampton,1
421,1,3rd,male,14,0,0,9.22500038,Southampton,1
422,0,3rd,male,24,0,0,7.79580021,Southampton,1
423,1,3rd,male,25,0,0,7.79580021,Southampton,1
424,1,1st,male,60,1,1,79.1999969,Cherbourg,0
425,0,3rd,male,34,0,0,8.05000019,Southampton,1
426,1,3rd,male,0.416700006,0,1,8.51669979,Cherbourg,0
427,1,3rd,female,16,1,1,8.51669979,Cherbourg,0
428,0,3rd,male,32,0,0,7.92500019,Southampton,1
429,1,1st,female,48,1,1,79.1999969,Cherbourg,0
430,0,3rd,male,30.5,0,0,8.05000019,Southampton,1
431,0,3rd,male,44,0,0,8.05000019,Southampton,1
432,1,3rd,male,25,0,0,0,Southampton,1
433,1,3rd,male,7,1,1,15.2458,Cherbourg,0
434,1,3rd,female,9,1,1,15.2458,Cherbourg,0
435,1,3rd,female,29,0,2,15.2458,Cherbourg,0
436,0,3rd,male,36,0,0,7.89580011,Southampton,1
437,1,3rd,female,18,0,0,9.8416996,Southampton,1
438,1,3rd,female,63,0,0,9.58749962,Southampton,1
439,0,3rd,male,11.5,1,1,14.5,Southampton,0
440,0,3rd,male,40.5,0,2,14.5,Southampton,0
441,0,3rd,female,10,0,2,24.1499996,Southampton,0
442,0,3rd,male,36,1,1,24.1499996,Southampton,0
443,0,3rd,female,30,1,1,24.1499996,Southampton,0
444,0,1st,male,37,1,0,53.0999985,Southampton,0
445,0,3rd,male,33,0,0,9.5,Southampton,1
446,0,3rd,male,28,0,0,9.5,Southampton,1
447,0,3rd,male,28,0,0,9.5,Southampton,1
